id,finish_number,finish_name,collection,variant,sku_code,grain,product_type,manufacturer,region,availability_notes,texture_58,texture_90,texture_34,texture_43,texture_46,texture_BH,texture_ML,texture_NG,texture_PA,texture_PG,texture_PX,texture_26,texture_WR,texture_11,texture_DP,texture_MC,texture_SP,texture_42,grade_12,grade_20,grade_V4,grade_V5,grade_13,grade_CC,grade_C9,size_4x8,size_4x10,size_4x12,size_5x12,fire_rated_eligible,fire_rated_grade_32,fire_rated_grade_50,fire_rated_size_4x8,fire_rated_size_5x10,fire_rated_size_5x12,compact_available
17,6320,Black Fusion,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
18,7402,Pietra Grafite,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
19,7403,Nero Marquina,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
20,7404,Neapolitan Stone,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
21,9284,Classic Crystal Granite,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
22,9302,Fantasy Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
23,9303,Azul Aran,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
24,9479,Wide Planked Walnut,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0
25,9483,Ferro Grafite,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
26,9534,Sea Pearl,180fx,,,0,Laminate,Formica,NA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
27,9536,Quartzite Bianco,180fx,,,0,Laminate,Formica,NA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
28,9537,Stormy Night Granite,180fx,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
29,9915,Prosecco Quartzite,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
30,9916,Fractured Marble,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
31,9917,Hazelnut Travertine,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
32,9918,Brecca Mojave,180fx,,,0,Laminate,Formica,NA,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
33,9919,Jatoba Brown,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
34,9920,Jatoba Green,180fx,,,0,Laminate,Formica,NA,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0
35,9921,Sahara Noir,180fx,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
36,459,Brite White,Antimicrobial,,459A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
37,464,Graystone,Antimicrobial,,464A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
38,909,Black,Antimicrobial,,909A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
39,912,Storm,Antimicrobial,,912A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40,949,White,Antimicrobial,,949A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
41,961,Fog,Antimicrobial,,961A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
42,5488,Smoky Brown Pear,Antimicrobial,,5488A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
43,5883,Pecan Woodline,Antimicrobial,,5883A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
44,5887,Millennium Oak,Antimicrobial,,5887A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
45,6413,Silver Riftwood,Antimicrobial,,6413A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
46,6698,Paloma Polar,Antimicrobial,,6698A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
47,7197,Dover White,Antimicrobial,,7197A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
48,8826,Neutral Twill,Antimicrobial,,8826A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
49,8829,Graphite Twill,Antimicrobial,,8829A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,8841,White Ash,Antimicrobial,,8841A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
51,8843,Natural Ash,Antimicrobial,,8843A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
52,8844,Aged Ash,Antimicrobial,,8844A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
53,8846,Oiled Legno,Antimicrobial,,8846A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
54,9283,Walnut Riftwood,Antimicrobial,,9283A,1,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
55,9285,White Twill,Antimicrobial,,9285A,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
56,85983,Almond,Cabinet Liners,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57,P0909,Black,Cabinet Liners,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58,P9167,Basic White 1,Cabinet Liners,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59,P9168,Basic White 2,Cabinet Liners,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60,845,Spectrum Red,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,909,Black,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62,912,Storm,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63,923,Surf,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64,927,Folkstone,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,928,Mouse,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66,933,Misson White,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,949,White,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
68,961,Fog,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
69,6696,Carrara Bianco,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
70,7223,New White,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
71,8841,White Ash,ColorCore2,,,1,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
72,9285,White Twill,ColorCore2,,,0,Laminate,Formica,NA,Multiple simultaneous textures possible per decor - no single sku_code can be inferred; left blank.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
73,909,Black,Crystal,,909-42,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
74,949,White,Crystal,,949-42,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
75,8253,Gold Veined Taupe Marble,InDepth Surfacing,Marble,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
76,8254,Brass Veined Black Marble,InDepth Surfacing,Marble,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
77,8255,Natural Silk Oak,InDepth Surfacing,Wood,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
78,8256,Fumed Silk Oak,InDepth Surfacing,Wood,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
79,8257,Oxidized Silk Oak,InDepth Surfacing,Wood,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
80,8258,Bleached Luster Walnut,InDepth Surfacing,Wood,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
81,8259,Steamed Luster Walnut,InDepth Surfacing,Wood,,0,Laminate,Formica,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
82,463,Sail White,MicroDot,,463-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
83,909,Black,MicroDot,,909-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
84,949,White,MicroDot,,949-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
85,961,Fog,MicroDot,,961-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
86,1097,Citadel,MicroDot,,1097-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
87,2200,Dark Chocolate,MicroDot,,2200-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
88,2297,Terril,MicroDot,,2297-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
89,6901,Vibrant Green,MicroDot,,6901-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
90,6903,Cassis,MicroDot,,6903-MC,0,Laminate,Formica,NA,SKU suffix inferred using the standard BASE-TEXTURECODE convention seen elsewhere in this catalog; not explicitly confirmed by source material.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91,271,Blackstone,Patterns,,,0,Laminate,Formica,NA,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
92,299,Ebony Oxide,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
93,503,Stone Grafix,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
94,507,Folkstone Grafix,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
95,515,Graphite Grafix,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
96,692,Folkstone Celesta,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
97,827,White Onyx,Patterns,,,0,Laminate,Formica,NA,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1
98,3450,Mineral Jet,Patterns,,,0,Laminate,Formica,NA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
99,3456,Mocha Travertine,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
100,3496,Belmonte Granite,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
101,3505,Storm Solidz,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
102,3517,Sand Crystall,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
103,3518,Flint Crystall,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
104,3522,Perlato Granite,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
105,3526,Travertine,Patterns,,,0,Laminate,Formica,NA,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1
106,3690,Basalt Slate,Patterns,,,0,Laminate,Formica,NA,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
107,3692,Labrador Granite,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
108,3705,Sugar Glass,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
109,3706,Patine Concrete,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
110,3707,Patine Bronze,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
111,3708,Burnished Coin,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
112,3709,Burnished Iron,Patterns,,,0,Laminate,Formica,NA,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
113,3710,Smoke Onyx,Patterns,,,0,Laminate,Formica,NA,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
114,3711,Slate Noir,Patterns,,,0,Laminate,Formica,NA,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1
